Name,Elevation,Geogr1,Geogr2,ELEMENT,Year,Time,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Addis Ababa,2386,38.7475,9.01891,PRECIP,2019,9:00,0,9,36.7,174.8,117.8,159.2,339.4,205,222.1,50.2,20.1,11
Addis Ababa,2386,38.7475,9.01891,PRECIP,2020,9:00,0,1.4,66.6,133.8,92.9,,,324.8,242.7,51.3,0,2.5
Addis Ababa,2386,38.7475,9.01891,PRECIP,2021,9:00,0,41.8,5.2,124.8,84.2,131,277.2,205.2,211,30.7,0,0
Addis Ababa,2386,38.7475,9.01891,PRECIP,2022,9:00,8.5,0,46.1,32,0,203.2,429.7,295.8,104.6,42.9,4.3,0
Addis Ababa,2386,38.7475,9.01891,PRECIP,2023,9:00,2.2,2.2,190.2,156.7,241,141.6,286.3,285,228.4,6.4,3.8,0
Addis Ababa,2386,38.7475,9.01891,PRECIP,2024,9:00,2,80.7,76.3,120.1,52.2,101.3,205.4,299.6,188.9,66.3,4.7,0
Addis Ababa,2386,38.7475,9.01891,PRECIP,2025,9:00,2.3,0,102.3,65,119.7,143.7,254.7,291.2,281.6,26.5,0,1.6
Addis Ababa,2386,38.7475,9.01891,PRECIP,2026,9:00,0,0,159.8,65,114.4,,,,,,,
Addis Ababa,2386,38.7475,9.01891,RELHUM,2017,9:00,40,65,55,52,69,69,82,80,76,60,60,59
Addis Ababa,2386,38.7475,9.01891,RELHUM,2017,12:00,30,47,42,41,57,56,72,71,69,49,47,39
Addis Ababa,2386,38.7475,9.01891,RELHUM,2017,15:00,27,40,35,37,53,51,69,71,73,48,43,35
Addis Ababa,2386,38.7475,9.01891,RELHUM,2017,18:00,30,42,42,41,60,51,77,77,77,56,48,44
Addis Ababa,2386,38.7475,9.01891,RELHUM,2018,9:00,59,56,58,68,62,75,82,83,66,58,64,65
Addis Ababa,2386,38.7475,9.01891,RELHUM,2018,12:00,42,45,46,55,52,67,69,70,55,46,49,48
Addis Ababa,2386,38.7475,9.01891,RELHUM,2018,15:00,37,41,42,53,52,67,66,68,54,45,44,40
Addis Ababa,2386,38.7475,9.01891,RELHUM,2018,18:00,41,47,51,59,59,78,76,74,56,52,49,49
Addis Ababa,2386,38.7475,9.01891,RELHUM,2019,9:00,51,55,55,65,56,73,81,81,81,55,61,69
Addis Ababa,2386,38.7475,9.01891,RELHUM,2019,12:00,35,41,44,51,47,65,67,69,70,47,51,54
Addis Ababa,2386,38.7475,9.01891,RELHUM,2019,15:00,29,36,38,49,46,66,69,71,73,45,47,48
Addis Ababa,2386,38.7475,9.01891,RELHUM,2019,18:00,33,38,41,57,50,71,75,74,75,53,53,57
Addis Ababa,2386,38.7475,9.01891,RELHUM,2020,9:00,71,66,62,63,61,73,86,83,75,54,55,61
Addis Ababa,2386,38.7475,9.01891,RELHUM,2020,12:00,53,50,47,50,51,60,76,72,63,45,43,43
Addis Ababa,2386,38.7475,9.01891,RELHUM,2020,15:00,44,40,40,44,50,60,72,68,66,44,39,39
Addis Ababa,2386,38.7475,9.01891,RELHUM,2020,18:00,50,45,46,53,57,67,81,75,74,51,46,46
Addis Ababa,2386,38.7475,9.01891,RELHUM,2021,9:00,55,62,48,53,60,65,84,80,76,62,55,59
Addis Ababa,2386,38.7475,9.01891,RELHUM,2021,12:00,41,48,35,47,49,56,77,67,66,51,44,44
Addis Ababa,2386,38.7475,9.01891,RELHUM,2021,15:00,35,39,30,39,46,59,72,70,66,51,41,39
Addis Ababa,2386,38.7475,9.01891,RELHUM,2021,18:00,42,47,34,45,55,58,77,75,75,56,46,43
Addis Ababa,2386,38.7475,9.01891,RELHUM,2022,9:00,68,59,55,56,49,73,88,83,75,64,59,63
Addis Ababa,2386,38.7475,9.01891,RELHUM,2022,12:00,46,45,44,48,39,61,76,72,66,51,46,48
Addis Ababa,2386,38.7475,9.01891,RELHUM,2022,15:00,40,38,41,42,35,61,74,73,61,51,41,43
Addis Ababa,2386,38.7475,9.01891,RELHUM,2022,18:00,43,43,45,50,37,63,80,79,71,55,47,48
Addis Ababa,2386,38.7475,9.01891,RELHUM,2023,9:00,60,54,72,69,76,73,84,80,76,57,65,63
Addis Ababa,2386,38.7475,9.01891,RELHUM,2023,12:00,44,40,59,59,67,61,69,68,64,47,47,47
Addis Ababa,2386,38.7475,9.01891,RELHUM,2023,15:00,37,32,55,55,71,63,69,65,64,46,44,42
Addis Ababa,2386,38.7475,9.01891,RELHUM,2023,18:00,39,36,60,59,79,67,78,68,69,50,50,46
Addis Ababa,2386,38.7475,9.01891,RELHUM,2024,9:00,67,69,67,70,63,72,83,83,75,69,62,60
Addis Ababa,2386,38.7475,9.01891,RELHUM,2024,12:00,50,51,52,59,50,59,69,69,61,57,49,42
Addis Ababa,2386,38.7475,9.01891,RELHUM,2024,15:00,43,43,47,53,47,57,65,71,63,54,45,38
Addis Ababa,2386,38.7475,9.01891,RELHUM,2024,18:00,47,46,51,61,54,59,73,78,71,64,53,44
Addis Ababa,2386,38.7475,9.01891,RELHUM,2025,9:00,65,56,65,60,64,73,86,85,83,71,63,71
Addis Ababa,2386,38.7475,9.01891,RELHUM,2025,12:00,47,40,54,46,54,63,81,78,74,60,55,58
Addis Ababa,2386,38.7475,9.01891,RELHUM,2025,15:00,40,34,47,43,53,62,84,76,77,62,53,54
Addis Ababa,2386,38.7475,9.01891,RELHUM,2025,18:00,43,38,50,46,63,71,85,81,82,67,55,60
Addis Ababa,2386,38.7475,9.01891,RELHUM,2026,9:00,68,62,77,60,62,,,,,,,
Addis Ababa,2386,38.7475,9.01891,RELHUM,2026,12:00,52,47,63,46,55,,,,,,,
Addis Ababa,2386,38.7475,9.01891,RELHUM,2026,15:00,49,43,59,43,53,,,,,,,
Addis Ababa,2386,38.7475,9.01891,RELHUM,2026,18:00,56,49,63,46,54,,,,,,,
Addis Ababa,2386,38.7475,9.01891,SUNHRS,2017,18:00,10,7.9,8.2,8.4,5.4,5.4,2.4,2.8,3.7,7,8.9,9.8
Addis Ababa,2386,38.7475,9.01891,SUNHRS,2018,18:00,8.8,7.6,6.8,4.2,5.8,3.3,2.8,2.5,,,8.1,9.3
Addis Ababa,2386,38.7475,9.01891,SUNHRS,2019,18:00,10,9.6,,5.9,,3.9,3,2.9,2.4,7.8,7.5,7.8
Addis Ababa,2386,38.7475,9.01891,SUNHRS,2020,18:00,8.8,8.5,7.6,6.9,6.6,4.6,,,3.7,7.1,8,
Addis Ababa,2386,38.7475,9.01891,SUNHRS,2021,18:00,9.1,7.8,9.5,6.7,6.3,5.9,1.6,3.6,4.3,7.3,8.9,9.8
Addis Ababa,2386,38.7475,9.01891,SUNHRS,2022,18:00,8.6,9.5,8.5,7.7,8.9,4.7,1.9,2.5,4,6.6,9.1,7.9
Addis Ababa,2386,38.7475,9.01891,SUNHRS,2023,18:00,9.7,9.2,4.8,6.1,5,4.9,3.1,4.1,4.3,7.6,8.6,8.9
Addis Ababa,2386,38.7475,9.01891,SUNHRS,2024,18:00,8.7,7.6,7.1,5,7.2,4.9,2.5,1.8,4,5.2,8.7,9.6
Addis Ababa,2386,38.7475,9.01891,SUNHRS,2025,18:00,9.3,10.2,7.4,8.3,6.8,6.2,2.6,2.7,3.8,6.6,9.9,7.3
Addis Ababa,2386,38.7475,9.01891,SUNHRS,2026,18:00,9.9,9.7,5.6,8.3,5,,,,,,,
Addis Ababa,2386,38.7475,9.01891,TMPMAX,2017,18:00,26,25.9,27.6,27.4,25.1,26,21.7,21.3,22,24.4,24.7,24.2
Addis Ababa,2386,38.7475,9.01891,TMPMAX,2018,18:00,24.9,26.3,25.6,24.9,25.1,22.9,21.3,15.1,23.9,24.5,24.3,25
Addis Ababa,2386,38.7475,9.01891,TMPMAX,2019,18:00,26.5,27.7,28.3,26.1,26.2,23.5,22.2,21.6,22.1,25,24.8,24
Addis Ababa,2386,38.7475,9.01891,TMPMAX,2020,18:00,25.5,26.9,27.6,26.5,26,23.7,20.8,21.6,22.5,24.7,25.3,24.9
Addis Ababa,2386,38.7475,9.01891,TMPMAX,2021,18:00,25.5,25.7,28,26.5,25.3,24.8,20.4,21.9,22.5,24.2,24.7,25.2
Addis Ababa,2386,38.7475,9.01891,TMPMAX,2022,18:00,25.5,26.3,26,26.2,27.7,23.8,21,20.8,22.3,23.4,23.9,23.7
Addis Ababa,2386,38.7475,9.01891,TMPMAX,2023,18:00,24.3,25.9,23.9,24.3,24.2,23.8,22.4,22.8,23.2,25.3,24.8,24.9
Addis Ababa,2386,38.7475,9.01891,TMPMAX,2024,18:00,25.3,26.1,26,25.3,26.9,24.9,22.4,21.6,23,23.9,24.2,24.7
Addis Ababa,2386,38.7475,9.01891,TMPMAX,2025,18:00,25.2,27.4,26.6,27.3,26,24.8,22,21.8,22.3,23.8,24.9,24.7
Addis Ababa,2386,38.7475,9.01891,TMPMAX,2026,18:00,25.5,27.1,25.7,27.3,27.2,,,,,,,
Addis Ababa,2386,38.7475,9.01891,TMPMIN,2017,9:00,6.7,11.5,12.7,12.6,13.3,12.5,12.2,12.3,11.9,11.3,9.1,6.7
Addis Ababa,2386,38.7475,9.01891,TMPMIN,2018,9:00,8.4,10.6,11.8,12.9,12.8,12.1,11.9,15.5,12,10.8,9.9,8.7
Addis Ababa,2386,38.7475,9.01891,TMPMIN,2019,9:00,7.9,11.8,13.2,13.5,13.3,12.6,12.1,12.3,12.2,11,10.8,9.6
